iter	Passed	Remaining
0	570	1139519
1	740	739572
2	906	603664
3	1081	539646
4	1280	510827
5	1572	522710
6	1708	486549
7	1859	463061
8	2035	450384
9	2158	429495
10	2436	440511
11	2792	462543
12	3077	470408
13	3384	480161
14	3673	486191
15	3853	477878
16	3975	463736
17	4117	453393
18	4234	441481
19	4332	428889
20	4428	417355
21	4560	410033
22	4649	399673
23	4737	390066
24	4829	381563
25	4915	373200
26	5003	365646
27	5080	357846
28	5176	351843
29	5276	346517
30	5391	342472
31	5643	347074
32	6032	359571
33	6363	367977
34	6651	373446
35	6883	375527
36	7053	374214
37	7212	372391
38	7588	381569
39	7952	389670
40	8396	401172
41	8698	405538
42	8820	401452
43	8949	397860
44	9033	392446
45	9217	391542
46	9471	393572
47	9669	393217
48	9872	393098
49	10077	393007
50	10298	393572
51	10462	391925
52	10669	391940
53	10867	391650
54	10981	388347
55	11151	387118
56	11355	387079
57	11608	388691
58	11872	390579
59	12028	388933
60	12166	386739
61	12274	383671
62	12362	380091
63	12457	376830
64	12565	374068
65	12685	371717
66	12766	368312
67	12845	364964
68	12929	361850
69	12999	358428
70	13075	355255
71	13147	352063
72	13220	348990
73	13298	346110
74	13376	343323
75	13468	340974
76	13591	339431
77	13751	338843
78	13869	337256
79	13967	335227
80	14068	333306
81	14160	331208
82	14250	329131
83	14347	327258
84	14452	325598
85	14558	324005
86	14708	323426
87	14790	321367
88	14873	319370
89	14956	317401
90	15040	315527
91	15125	313695
92	15235	312399
93	15328	310819
94	15432	309454
95	15525	307923
96	15629	306631
97	15738	305458
98	15827	303921
99	15919	302472
100	16005	300942
101	16091	299429
102	16180	298003
103	16276	296738
104	16362	295311
105	16436	293682
106	16508	292065
107	16581	290478
108	16677	289328
109	16757	287923
110	16826	286357
111	16903	284941
112	16982	283584
113	17056	282186
114	17133	280834
115	17210	279529
116	17291	278290
117	17387	277320
118	17477	276269
119	17566	275208
120	17679	274548
121	17763	273440
122	17847	272355
123	17923	271168
124	18041	270620
125	18150	269953
126	18248	269129
127	18353	268421
128	18432	267338
129	18523	266457
130	18627	265768
131	18722	264957
132	18812	264081
133	18900	263191
134	19005	262551
135	19094	261703
136	19229	261492
137	19398	261744
138	19520	261354
139	19644	260992
140	19817	261281
141	19968	261281
142	20066	260590
143	20161	259861
144	20247	259026
145	20330	258173
146	20397	257124
147	20480	256277
148	20552	255322
149	20630	254446
150	20711	253611
151	20778	252626
152	20842	251610
153	20907	250623
154	20983	249773
155	21059	248936
156	21132	248072
157	21212	247295
158	21297	246591
159	21390	245992
160	21484	245398
161	21577	244813
162	21685	244399
163	21764	243659
164	21838	242868
165	21932	242309
166	22069	242231
167	22148	241524
168	22212	240657
169	22306	240119
170	22383	239414
171	22451	238611
172	22524	237878
173	22596	237137
174	22690	236626
175	22765	235932
176	22840	235240
177	22918	234590
178	23007	234054
179	23096	233533
180	23183	232989
181	23360	233351
182	23487	233203
183	23572	232654
184	23660	232126
185	23737	231501
186	23813	230879
187	23884	230205
188	23988	229857
189	24080	229401
190	24158	228810
191	24235	228219
192	24316	227668
193	24390	227061
194	24477	226572
195	24547	225940
196	24632	225446
197	24741	225168
198	24831	224731
199	24921	224290
200	25034	224064
201	25137	223744
202	25227	223321
203	25313	222854
204	25386	222289
205	25462	221744
206	25542	221243
207	25620	220727
208	25710	220321
209	25785	219787
210	25858	219246
211	25932	218711
212	26010	218218
213	26080	217662
214	26152	217129
215	26226	216614
216	26298	216085
217	26375	215602
218	26445	215062
219	26519	214568
220	26596	214099
221	26688	213750
222	26764	213278
223	26851	212896
224	26943	212555
225	27031	212189
226	27124	211859
227	27212	211490
228	27297	211106
229	27376	210678
230	27452	210231
231	27526	209770
232	27602	209332
233	27698	209040
234	27769	208568
235	27838	208081
236	27925	207733
237	27998	207285
238	28067	206806
239	28147	206417
240	28217	205956
241	28289	205509
242	28369	205126
243	28442	204694
244	28532	204382
245	28619	204058
246	28728	203891
247	28820	203600
248	28909	203293
249	29007	203052
250	29111	202852
251	29205	202584
252	29277	202162
253	29352	201772
254	29427	201379
255	29495	200941
256	29570	200547
257	29671	200336
258	29746	199953
259	29820	199566
260	29894	199182
261	29968	198799
262	30048	198454
263	30141	198202
264	30232	197935
265	30310	197586
266	30381	197192
267	30450	196792
268	30527	196445
269	30598	196059
270	30687	195790
271	30777	195527
272	30863	195243
273	30957	195010
274	31045	194739
275	31128	194438
276	31214	194159
277	31292	193835
278	31381	193575
279	31471	193326
280	31561	193073
281	31666	192919
282	31773	192773
283	31849	192444
284	31913	192042
285	31988	191707
286	32061	191363
287	32133	191017
